,,,,,,,,,,,,,,,,,,,,,,,,,,,max_TTL
10.30.244.55,8.8.8.8,r0965026.iavs9x.u.avast.com,5547,21567,20,20,,,,,,,,,,,,,,,,,,,,,21567
10.30.244.55,8.8.8.8,n4291289.iavs9x.u.avast.com,6919,21567,20,20,,,,,,,,,,,,,,,,,,,,,21567
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21566,266,266,,,,,,,,,,,,,,,,,,,,,,21566
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21566,266,266,,,,,,,,,,,,,,,,,,,,,,21566
10.30.244.55,8.8.8.8,s-iavs9x.avcdn.net,1264,21566,20,20,,,,,,,,,,,,,,,,,,,,,21566
10.30.224.195,8.8.8.8,l2983942.iavs9x.u.avast.com,6995,21566,20,20,,,,,,,,,,,,,,,,,,,,,21566
10.30.224.195,8.8.8.8,l7814800.iavs9x.u.avast.com,6696,21566,20,20,,,,,,,,,,,,,,,,,,,,,21566
10.30.224.195,8.8.8.8,b8003600.iavs9x.u.avast.com,6590,21566,10,10,,,,,,,,,,,,,,,,,,,,,21566
10.30.224.195,8.8.8.8,b8003600.iavs9x.u.avast.com,6590,21566,10,10,,,,,,,,,,,,,,,,,,,,,21566
10.30.224.195,8.8.8.8,l7814800.iavs9x.u.avast.com,6696,21566,10,10,,,,,,,,,,,,,,,,,,,,,21566
10.30.224.195,8.8.8.8,l2983942.iavs9x.u.avast.com,6995,21566,10,10,,,,,,,,,,,,,,,,,,,,,21566
10.30.224.195,8.8.8.8,r9319236.iavs9x.u.avast.com,6350,21566,10,10,,,,,,,,,,,,,,,,,,,,,21566
10.30.221.65,8.8.8.8,nrdp-cell4.prod.ftl.netflix.com,21565,265,265,,,,,,,,,,,,,,,,,,,,,,21565
10.30.244.55,8.8.8.8,s-vps18.avcdn.net,423,21564,20,,,,,,,,,,,,,,,,,,,,,,21564
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21564,264,264,,,,,,,,,,,,,,,,,,,,,,21564
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21564,264,264,,,,,,,,,,,,,,,,,,,,,,21564
10.30.220.230,8.8.8.8,sodium.slp.pos.here.com,19484,21564,60,5,5,5,,,,,,,,,,,,,,,,,,,21564
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21563,263,263,,,,,,,,,,,,,,,,,,,,,,21563
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21563,263,263,,,,,,,,,,,,,,,,,,,,,,21563
10.30.223.81,8.8.8.8,nrdp.prod.ftl.netflix.com,21562,262,262,,,,,,,,,,,,,,,,,,,,,,21562
10.30.221.65,8.8.8.8,nrdp-cell4.prod.ftl.netflix.com,21561,261,261,,,,,,,,,,,,,,,,,,,,,,21561
10.30.219.139,8.8.4.4,s-iavs9x.avcdn.net,855,21561,20,20,,,,,,,,,,,,,,,,,,,,,21561
